SR.,09 SEPT,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, RUTE,VEHICLE,T-POI,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,TOTAL
109,10-13-0886,GJ04GA0886,39,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
110,W-10 R-14,GJ06BX0854,23,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,7
111,11-01-0345,GJ06BX0345,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
112,11-02-0722,GJ04GA0722,41,0,2,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
113,11-03-0732,GJ04GA0732,59,0,2,0,0,3,1,1,0,2,0,1,1,10,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25
114,11-04-0863,GJ04GA0863,74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,10
115,11-05-0134,GJ06BX0134,9,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
116,11-06-0612,GJ04GA0612,42,1,1,1,1,2,0,2,0,1,1,2,0,2,2,42,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,62
117,11-07-0580,GJ04GA0580,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,10
118,11-08-0015,GJ04GB0015,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
119,11-09-0209,GJ04GB0209,32,0,1,0,0,1,1,0,0,0,0,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
120,W-11 R-10,GJ04GB0182,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,12-01-1700,GJ06BX1700,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,12-02-0098,GJ06BX0098,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,12-03-0932,GJ04GA0932,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,12-04-0530,GJ04GA0530,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,12-05-0619,GJ04GA0619,32,0,3,0,0,5,1,3,1,1,0,0,2,5,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28
126,12-06-0780,GJ04GA0780,44,0,1,1,1,2,0,1,0,1,1,0,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14
127,12-07-0511,GJ04GA0511,44,0,0,0,1,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
128,12-08-0853,GJ04GA0853,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
